"gender","age","biu","coc","bis","syc","proficiency","dependency","optimism","acceptance"
"female",55,4,"3,8","4,66666666666667",5,3,"4,8","4,25",4
"female",50,4,"4,4",5,5,"1,33333333333333","5,2","3,75","3,66666666666667"
"female",21,4,"5,2",5,7,"3,33333333333333","5,8","2,5",1
"female",24,"2,5","4,2","6,66666666666667",7,"4,66666666666667","6,2","4,75","4,66666666666667"
"female",21,"3,5",5,3,5,"4,33333333333333",5,"4,75",4
"female",40,4,"2,6","4,33333333333333",4,3,3,"3,5",5
"male",36,7,2,6,7,5,"6,4","5,5",7
"female",54,1,3,"2,66666666666667",7,5,"3,2","5,5","5,33333333333333"
"male",50,"4,75","2,2",6,2,"3,66666666666667","5,2","5,75","6,33333333333333"
"female",44,"3,25","5,8",4,5,3,"4,2","4,5","1,66666666666667"
"female",22,4,2,"4,33333333333333",4,1,6,"4,75","6,66666666666667"
"male",23,7,1,"6,66666666666667","6,5",7,"4,2",7,7
"female",40,"4,5","2,2",6,1,7,"2,2",7,7
"female",21,"4,5","2,2","5,66666666666667",4,"5,66666666666667","3,4",6,"5,33333333333333"
"male",48,"2,75","3,2",3,5,2,2,"4,25","6,66666666666667"
"female",27,4,4,4,4,5,"3,6",4,"3,33333333333333"
"female",47,"2,75",1,"3,33333333333333","5,5",7,"5,2","6,25",7
"female",39,"3,5",2,6,"4,5","5,33333333333333","5,2","5,25",6
"male",45,"2,75","3,4",4,7,"5,66666666666667","6,2","6,25",1
"female",21,4,2,"5,66666666666667",7,3,"4,2",4,5
"female",28,"4,25",4,"6,66666666666667","6,5",3,4,4,6
"female",21,3,"4,8","5,66666666666667","6,5","3,66666666666667",4,5,"4,33333333333333"
"female",18,"3,75",4,6,6,"3,66666666666667","3,8","3,75","4,33333333333333"
"female",22,"2,5","5,4",3,7,"1,66666666666667","5,6","4,75","4,66666666666667"
"female",69,"2,75",6,"5,33333333333333",7,2,"4,8",5,2
"female",18,"2,75","3,2","5,66666666666667","5,5","5,33333333333333","3,6","5,5",7
"male",49,"3,25","4,2",4,7,4,5,"5,25","4,66666666666667"
"female",37,"2,5",4,4,5,"2,66666666666667","3,8","4,25","4,66666666666667"
"male",35,"4,75","1,8",7,"3,5","3,33333333333333","4,4","5,5","6,33333333333333"
"female",22,3,"4,6",6,"3,5","3,66666666666667","4,6","4,5",5
"female",44,3,"2,6",5,"5,5","3,66666666666667","4,8","4,5","5,66666666666667"
"female",20,4,"2,6","3,66666666666667","4,5","2,66666666666667","5,2","5,5","4,66666666666667"
"male",37,5,1,6,4,6,"2,8",6,7
"female",23,2,6,"5,33333333333333",6,4,"6,6","5,25","3,66666666666667"
"male",27,"5,25","3,6",6,"4,5",6,"5,4","5,25",4
